year,quarter,dp,ypl,gnpg,vwretx,ewretx,D12,tb30,AAA,BAA,Rfree,CRSP_SPvwx,def,term,mktrf
1947.0,1.0,0.009493424,-0.20684479,,-0.020805,-0.034586,0.72,0.0038,0.0255,0.0315,0.0003,-0.017731,0.006,0.0175,-0.0167
1947.0,2.0,0.010966904,-0.19496523,0.011893363,0.048538,0.051363,0.76,0.0038,0.0255,0.0321,0.0003,0.050908,0.0066,0.0178,0.0529
1947.0,3.0,0.010984324,-0.19054212,0.014677458,-0.009473,0.000238,0.79,0.008,0.0261,0.0323,0.0006,-0.01369,0.0062,0.0133,-0.0054
1947.0,4.0,0.011770944,-0.1891284,0.040126722,0.023249,0.013311,0.84,0.0095,0.0286,0.0352,0.0008,0.025273,0.0066,0.0148,0.03
1948.0,1.0,0.011496227,-0.15893231,0.023299085,0.076865,0.08961,0.85,0.01,0.0283,0.0353,0.0009,0.077022,0.007,0.0141,0.0807
1948.0,2.0,0.013324244,-0.12975895,0.025549294,-0.005419,-0.018277,0.85,0.01,0.0276,0.0334,0.0009,0.003687,0.0058,0.0138,-0.001
1948.0,3.0,0.0135289775,-0.06949438,0.023915676,-0.035123,-0.048793,0.87,0.0109,0.0284,0.0345,0.0004,-0.031159,0.0061,0.0133,-0.0297
1948.0,4.0,0.013070958,0.08863368,0.0041172933,0.024024,0.001728,0.93,0.0116,0.0279,0.0353,0.0004,0.029719,0.0074,0.0121,0.0326
1949.0,1.0,0.0134636955,0.19557676,-0.019407412,0.035339,0.052517,0.98,0.0117,0.027,0.0347,0.001,0.029349,0.0077,0.011,0.0404
1949.0,2.0,0.01473995,0.20517433,-0.013622577,-0.004382,-0.014373,1.02,0.0117,0.0271,0.0347,0.001,-0.003269,0.0076,0.01,0.001
1949.0,3.0,0.0147521775,0.14754726,0.0054202066,0.027265,0.037579,1.04,0.0107,0.026,0.0337,0.0009,0.024293,0.0077,0.0105,0.0309
1949.0,4.0,0.014927167,0.0585559,-0.008799766,0.044769,0.060479,1.14,0.011,0.0258,0.0331,0.0009,0.046034,0.0073,0.0099,0.0513
1950.0,1.0,0.014709998,0.0053299433,0.037186272,0.007457,-0.007428,1.17,0.0112,0.0258,0.0324,0.001,0.003542,0.0066,0.0103,0.0126
1950.0,2.0,0.013312341,0.032728534,0.033616833,-0.062799,-0.081388,1.2,0.0115,0.0262,0.0328,0.001,-0.057849,0.0066,0.0101,-0.0594
1950.0,3.0,0.014529494,0.11270031,0.06007537,0.044122,0.049011,1.33,0.013,0.0264,0.0321,0.001,0.05651,0.0057,0.009,0.0481
1950.0,4.0,0.0147838,0.18805225,0.037367612,0.051048,0.074591,1.47,0.0134,0.0267,0.032,0.0011,0.051025,0.0053,0.009,0.0554
1951.0,1.0,0.015255688,0.17819212,0.04850965,-0.025753,-0.039402,1.52,0.014,0.0278,0.0323,0.0011,-0.019706,0.0045,0.0101,-0.0215
1951.0,2.0,0.013932736,0.18804966,0.024685618,-0.029834,-0.050402,1.56,0.0145,0.0294,0.0349,0.0012,-0.028186,0.0055,0.0114,-0.0262
1951.0,3.0,0.012870409,0.1805654,0.021186115,0.005339,0.018529,1.52,0.0163,0.0284,0.0346,0.0012,0.001195,0.0062,0.009,0.007
1951.0,4.0,0.012133465,0.14718626,0.013907483,0.030241,0.007583,1.41,0.0173,0.0301,0.0361,0.0012,0.038467,0.006,0.0096,0.0333
1952.0,1.0,0.011549101,0.16456509,0.009695342,0.041726,0.023488,1.42,0.0159,0.0296,0.0351,0.0011,0.050655,0.0055,0.0104,0.0444
1952.0,2.0,0.011919154,0.22031498,0.003388188,0.035588,0.025483,1.45,0.017,0.0294,0.035,0.0015,0.045795,0.0056,0.0089,0.0383
1952.0,3.0,0.012095179,0.23774798,0.018108077,-0.023065,-0.020171,1.45,0.0171,0.0295,0.0352,0.0016,-0.020098,0.0057,0.0106,-0.0203
1952.0,4.0,0.01198353,0.26459998,0.034738746,0.026399,0.015347,1.41,0.0209,0.0297,0.0351,0.0016,0.035725,0.0054,0.007,0.0293
1953.0,1.0,0.011929016,0.3383673,0.018474855,-0.016681,-0.015289,1.41,0.0201,0.0312,0.0357,0.0018,-0.024368,0.0045,0.0093,-0.0143
1953.0,2.0,0.012074568,0.30690792,0.009986173,-0.020523,-0.03684,1.42,0.0211,0.034,0.0386,0.0018,-0.016183,0.0046,0.009,-0.0189
1953.0,3.0,0.011741095,0.24012084,-0.0020869446,-0.001313,-0.016444,1.42,0.0179,0.0329,0.0388,0.0016,7.2e-05,0.0059,0.0105,0.002
1953.0,4.0,0.012302553,0.16372874,-0.013274152,-0.004642,-0.023263,1.45,0.016,0.0313,0.0374,0.0013,-0.001189,0.0061,0.0114,0.0003
1954.0,1.0,0.012475122,0.098344445,-0.0011688243,0.033374,0.023901,1.47,0.0103,0.0286,0.0351,0.0008,0.028423,0.0065,0.0175,0.0365
1954.0,2.0,0.010647582,0.046191383,0.001996191,0.007767,0.007529,1.45,0.0064,0.029,0.0349,0.0006,0.000533,0.0059,0.0208,0.0107
1954.0,3.0,0.011352374,0.039101567,0.012584151,0.061381,0.040407,1.47,0.0101,0.0289,0.0347,0.0009,0.080888,0.0058,0.017,0.0639
1954.0,4.0,0.011305233,0.068180375,0.022747489,0.051806,0.082538,1.54,0.0115,0.029,0.0345,0.0008,0.052361,0.0055,0.0157,0.0548
1955.0,1.0,0.011538741,0.08868104,0.03282939,-0.004256,-0.003614,1.56,0.0128,0.0302,0.0348,0.001,-0.003851,0.0046,0.016,-0.0016
1955.0,2.0,0.009986853,0.11835552,0.020095337,0.063181,0.030951,1.57,0.0141,0.0305,0.0351,0.001,0.07993,0.0046,0.0152,0.0655
1955.0,3.0,0.010170488,0.17542173,0.020402359,-0.004543,-0.01124,1.62,0.0207,0.0313,0.0359,0.0016,0.010117,0.0046,0.0091,-0.0036
1955.0,4.0,0.009963465,0.16180648,0.015937727,0.01339,0.01751,1.64,0.0254,0.0315,0.0362,0.0018,-0.001685,0.0047,0.0041,0.0149
1956.0,1.0,0.009573736,0.11615081,0.0067511997,0.065641,0.047365,1.73,0.0225,0.031,0.036,0.0015,0.069226,0.005,0.0078,0.0664
1956.0,2.0,0.009731021,0.1002369,0.014024667,0.03454,0.017808,1.8,0.0249,0.0326,0.0376,0.002,0.037762,0.005,0.005,0.0348
1956.0,3.0,0.00884427,0.082187906,0.011688208,-0.052064,-0.039684,1.84,0.0284,0.0356,0.0407,0.0018,-0.045127,0.0051,0.004,-0.0514
1956.0,4.0,0.0094605,0.07577353,0.01940426,0.031548,0.017506,1.74,0.0321,0.0375,0.0437,0.0024,0.034442,0.0062,0.0024,0.0316
1957.0,1.0,0.009288163,0.15989909,0.021031098,0.020947,0.018205,1.73,0.0308,0.0366,0.0443,0.0023,0.020752,0.0077,0.0023,0.0213
1957.0,2.0,0.010477852,0.20148149,0.0053318734,-0.007812,-0.010614,1.73,0.0329,0.0391,0.0463,0.0024,-0.003632,0.0072,0.0032,-0.0074
1957.0,3.0,0.010451281,0.19280834,0.01530325,-0.060387,-0.057172,1.76,0.0353,0.0412,0.0493,0.0026,-0.060609,0.0081,0.0011,-0.0598
1957.0,4.0,0.0090101445,0.19152845,-0.011092427,-0.041179,-0.055242,1.79,0.0304,0.0381,0.0503,0.0024,-0.041021,0.0122,0.0019,-0.0391
1958.0,1.0,0.009775556,0.12109815,-0.015256186,0.030263,0.031262,1.77,0.013,0.0363,0.0468,0.0009,0.029736,0.0105,0.0191,0.0327
1958.0,2.0,0.008604478,0.010464943,0.0095296735,0.026265,0.027697,1.73,0.0083,0.0357,0.0455,0.0003,0.024897,0.0098,0.0241,0.0293
1958.0,3.0,0.008648601,-0.048966285,0.02860492,0.045746,0.048584,1.73,0.0244,0.0409,0.0487,0.0019,0.047954,0.0078,0.0136,0.0466
1958.0,4.0,0.008812488,-0.012600482,0.027650042,0.050293,0.034678,1.75,0.0277,0.0408,0.0485,0.0022,0.051432,0.0077,0.0105,0.0515
1959.0,1.0,0.008038142,0.007982341,0.021227295,0.002113,0.008897,1.77,0.028,0.0413,0.0485,0.0022,0.000826,0.0072,0.0123,0.0028
1959.0,2.0,0.007458633,0.047190238,0.023773745,-0.001865,0.000969,1.79,0.0321,0.0446,0.0504,0.0025,-0.003196,0.0058,0.0098,-0.0025
1959.0,3.0,0.007119008,0.09875607,0.004958667,-0.047403,-0.049165,1.81,0.0404,0.0452,0.0518,0.0031,-0.045586,0.0066,0.0025,-0.048
1959.0,4.0,0.0067996765,0.062496353,0.007109067,0.025271,0.017354,1.83,0.0449,0.0458,0.0528,0.0034,0.026911,0.007,-0.0002,0.0245
1960.0,1.0,0.0065841503,0.03142634,0.025892539,-0.015488,-0.028333,1.94,0.0331,0.0449,0.0525,0.0035,-0.015238,0.0076,0.008,-0.0163
1960.0,2.0,0.006756319,0.08060465,-0.0027366888,0.020134,0.018178,1.95,0.0246,0.0445,0.0526,0.0024,0.019133,0.0081,0.0161,0.0208
1960.0,3.0,0.006596354,0.071317114,0.0085721575,-0.06086,-0.0622,1.95,0.0248,0.0425,0.0501,0.0016,-0.06092,0.0076,0.0139,-0.0599
1960.0,4.0,0.006545475,0.051049225,-0.009548597,0.04623,0.034238,1.95,0.0225,0.0435,0.051,0.0016,0.046597,0.0075,0.0155,0.0471
1961.0,1.0,0.0062826597,0.0697037,0.009231453,0.028347,0.04705,1.94,0.0239,0.0422,0.0502,0.002,0.027051,0.008,0.0158,0.0289
1961.0,2.0,0.0056871097,0.112488925,0.01869246,-0.03057,-0.044966,1.94,0.0233,0.0433,0.0503,0.002,-0.028725,0.007,0.0171,-0.0308
1961.0,3.0,0.005803043,0.16825868,0.021628821,-0.021266,-0.031799,1.96,0.0228,0.0445,0.0512,0.0017,-0.019877,0.0067,0.0175,-0.0215
1961.0,4.0,0.0059698084,0.14807697,0.022578856,-0.000599,-0.006237,2.02,0.026,0.0442,0.051,0.0019,0.003465,0.0068,0.0155,-0.0018
1962.0,1.0,0.005998325,0.13848765,0.022686314,-0.006113,-0.008615,2.04,0.0272,0.0439,0.0504,0.002,-0.005137,0.0065,0.0126,-0.0068
1962.0,2.0,0.007367462,0.11031761,0.011221606,-0.084336,-0.087909,2.06,0.0273,0.0428,0.0502,0.002,-0.082222,0.0074,0.0128,-0.0847
1962.0,3.0,0.009244291,0.0726067,0.014325486,-0.051786,-0.066217,2.08,0.0278,0.0432,0.0503,0.0021,-0.050259,0.0071,0.012,-0.0522
1962.0,4.0,0.009312731,0.124971956,0.0063930713,0.010056,-0.028471,2.13,0.0287,0.0424,0.0492,0.0023,0.01404,0.0068,0.0108,0.0101
1963.0,1.0,0.009341197,0.12860924,0.014751052,0.031233,0.009732,2.15,0.0289,0.0419,0.0488,0.0023,0.035156,0.0069,0.0112,0.0308
1963.0,2.0,0.008303617,0.088383056,0.012553007,-0.019459,-0.012566,2.2,0.0299,0.0423,0.0484,0.0023,-0.019806,0.0061,0.0108,-0.02
1963.0,3.0,0.0065064942,0.13634464,0.023061605,-0.013316,-0.012468,2.21,0.0338,0.0431,0.0484,0.0027,-0.011579,0.0053,0.0072,-0.0157
1963.0,4.0,0.008595833,0.1595792,0.014809259,0.019978,-0.007261,2.28,0.0352,0.0435,0.0485,0.0029,0.024651,0.005,0.0065,0.0183
1964.0,1.0,0.009232983,0.20074591,0.024474734,0.015967,0.023102,2.33,0.0354,0.0438,0.0483,0.0031,0.015814,0.0045,0.007,0.0141
1964.0,2.0,0.008879128,0.22959451,0.0127634555,0.013413,0.00783,2.38,0.0348,0.0441,0.0485,0.003,0.016779,0.0044,0.0071,0.0127
1964.0,3.0,0.008954243,0.21391599,0.019600358,0.028792,0.035831,2.44,0.0353,0.0442,0.0482,0.0028,0.029022,0.004,0.0068,0.0269
1964.0,4.0,0.009622438,0.19840455,0.0070589436,0.001939,-0.015461,2.5,0.0384,0.0444,0.0481,0.0031,0.003803,0.0037,0.0039,0.0003
1965.0,1.0,0.009043713,0.17897333,0.029762682,-0.011428,0.012949,2.55,0.0393,0.0442,0.0478,0.0036,-0.013685,0.0036,0.0029,-0.0134
1965.0,2.0,0.009651576,0.20122692,0.017281448,-0.053592,-0.086084,2.61,0.038,0.0446,0.0485,0.0035,-0.048367,0.0039,0.0043,-0.0551
1965.0,3.0,0.009793432,0.21450365,0.025154196,0.030357,0.025166,2.66,0.0392,0.0452,0.0491,0.0031,0.032034,0.0039,0.0041,0.0286
1965.0,4.0,0.006826592,0.22462128,0.028826062,0.011976,0.040331,2.72,0.0438,0.0468,0.0502,0.0033,0.009059,0.0034,0.0012,0.0101
1966.0,1.0,0.007080468,0.23624375,0.030544253,-0.022747,-0.011332,2.78,0.0459,0.0492,0.0532,0.0038,-0.024608,0.004,1e-04,-0.0251
1966.0,2.0,0.0077128927,0.24616292,0.01154871,-0.012063,-0.007341,2.83,0.045,0.0507,0.0558,0.0038,-0.015904,0.0051,0.0027,-0.0144
1966.0,3.0,0.00749328,0.2408051,0.017829448,-0.008696,-0.020555,2.89,0.0537,0.0549,0.0609,0.004,-0.007692,0.006,-0.0057,-0.0106
1966.0,4.0,0.007693536,0.2495076,0.01678764,0.00441,0.014408,2.87,0.0496,0.0539,0.0618,0.004,-0.001089,0.0079,-0.0041,0.0013
1967.0,1.0,0.00724932,0.24225411,0.012827511,0.041582,0.055882,2.9,0.0426,0.0513,0.0585,0.0039,0.039544,0.0072,0.0029,0.0399
1967.0,2.0,0.0062255412,0.2231335,0.0054853363,0.025341,0.079861,2.9,0.0354,0.0544,0.0615,0.0027,0.018015,0.0071,0.0153,0.0241
1967.0,3.0,0.0064187367,0.19584954,0.01954747,0.032875,0.061164,2.92,0.0442,0.0565,0.064,0.0032,0.032597,0.0075,0.0075,0.0311
1967.0,4.0,0.0065168524,0.18680595,0.018318506,0.032203,0.078316,2.92,0.0497,0.0619,0.0693,0.0033,0.025857,0.0074,0.0059,0.0305
1968.0,1.0,0.007235636,0.19817753,0.031276044,0.00374,-0.013014,2.95,0.0517,0.0611,0.0685,0.0038,0.008585,0.0074,0.0043,0.002
1968.0,2.0,0.0074693332,0.17527513,0.02709879,0.010038,0.01453,2.99,0.0552,0.0628,0.0707,0.0043,0.008695,0.0079,-0.0018,0.0069
1968.0,3.0,0.008013583,0.16574414,0.017638115,0.043207,0.067318,3.03,0.0519,0.0597,0.0679,0.0043,0.03821,0.0082,0.0012,0.0403
1968.0,4.0,0.0086641405,0.15274958,0.017836442,-0.035362,0.00417,3.07,0.0596,0.0645,0.0723,0.0043,-0.042141,0.0078,0.0002,-0.0394
1969.0,1.0,0.008161501,0.14779183,0.025705928,0.029062,0.018682,3.1,0.0602,0.0685,0.0751,0.0046,0.033599,0.0066,0.0018,0.0264
1969.0,2.0,0.011138575,0.13881858,0.015395985,-0.068958,-0.115112,3.13,0.0644,0.0698,0.077,0.0051,-0.055686,0.0072,-0.0021,-0.0718
1969.0,3.0,0.010767779,0.12250525,0.020207575,-0.024167,-0.026428,3.15,0.0709,0.0714,0.0805,0.0062,-0.025285,0.0091,-0.0032,-0.0298
1969.0,4.0,0.0093409,0.11908279,0.007941982,-0.021471,-0.068361,3.16,0.0782,0.0772,0.0865,0.0064,-0.018365,0.0093,-0.0095,-0.0263
1970.0,1.0,0.008975347,0.10328513,0.012678888,-0.006569,-0.025789,3.17,0.0663,0.0784,0.0863,0.0057,0.001232,0.0079,-0.0002,-0.0106
1970.0,2.0,0.008454951,0.08428431,0.015505739,-0.053372,-0.076505,3.18,0.0668,0.0848,0.0925,0.0058,-0.050902,0.0077,0.0041,-0.0579
1970.0,3.0,0.0075804405,0.0828498,0.017198347,0.0456,0.123935,3.19,0.0612,0.0809,0.0939,0.0054,0.033021,0.013,0.0068,0.0418
1970.0,4.0,0.007596843,0.07241183,0.0018552914,0.058969,0.079062,3.14,0.0487,0.0764,0.0912,0.0042,0.057358,0.0148,0.0161,0.0572
1971.0,1.0,0.007984369,0.024148608,0.042825293,0.042972,0.054652,3.11,0.0338,0.0721,0.0846,0.003,0.037624,0.0125,0.0255,0.0413
1971.0,2.0,0.006724503,0.029069837,0.01879358,0.001385,-0.019225,3.1,0.0475,0.0764,0.0875,0.0037,0.001061,0.0111,0.0166,-0.001
1971.0,3.0,0.0072814124,0.024696274,0.017614327,-0.006491,-0.006263,3.09,0.0469,0.0744,0.0859,0.0037,-0.006387,0.0115,0.0129,-0.0085
1971.0,4.0,0.0070492327,0.020044986,0.0109864175,0.089557,0.115263,3.07,0.0401,0.0725,0.0838,0.0037,0.086486,0.0113,0.0196,0.0871
1972.0,1.0,0.00657702,0.027888587,0.033455912,0.007248,-0.002463,3.07,0.0373,0.0724,0.0824,0.0027,0.006132,0.01,0.024,0.0063
1972.0,2.0,0.005617923,0.05039006,0.028411863,-0.022412,-0.035508,3.07,0.0391,0.0723,0.082,0.0029,-0.021378,0.0097,0.0216,-0.0243
1972.0,3.0,0.005163169,0.0648345,0.019425858,-0.009085,-0.032321,3.08,0.0466,0.0722,0.0809,0.0034,-0.004516,0.0087,0.014,-0.0114
1972.0,4.0,0.00520708,0.06544416,0.029153382,0.009903,-0.021639,3.15,0.0507,0.0708,0.0793,0.0037,0.012622,0.0085,0.0092,0.0062
1973.0,1.0,0.0053941803,0.1057394,0.03685775,-0.00933,-0.03067,3.17,0.0609,0.0729,0.0803,0.0046,-0.002089,0.0074,0.0077,-0.013
1973.0,2.0,0.0058814213,0.15861888,0.026552552,-0.010424,-0.039765,3.22,0.0719,0.0737,0.0813,0.0051,-0.006522,0.0076,-0.0009,-0.0157
1973.0,3.0,0.0056886515,0.17249736,0.015454722,0.05253,0.07118,3.27,0.0829,0.0763,0.0863,0.0068,0.041038,0.01,-0.0126,0.0475
1973.0,4.0,0.0057930364,0.18450363,0.029186219,0.009421,-0.044618,3.38,0.0745,0.0768,0.0848,0.0064,0.016534,0.008,-0.0019,0.0061
1974.0,1.0,0.0056661223,0.22125053,0.01179463,-0.025299,0.005881,3.44,0.0796,0.0801,0.0862,0.0056,-0.023154,0.0061,-0.0013,-0.0281
1974.0,2.0,0.008519983,0.19318283,0.024996646,-0.025407,-0.036422,3.5,0.079,0.0847,0.0927,0.006,-0.014583,0.008,0.0022,-0.0283
1974.0,3.0,0.008899527,0.18481427,0.018483698,-0.112274,-0.08235,3.59,0.0806,0.0924,0.1018,0.0081,-0.119578,0.0094,0.0031,-0.1177
1974.0,4.0,0.009152126,0.1780748,0.023659302,-0.030302,-0.085128,3.6,0.0715,0.0889,0.1063,0.007,-0.020305,0.0174,0.0045,-0.0345
1975.0,1.0,0.009353659,0.11444397,0.008945522,0.027442,0.078056,3.67,0.0549,0.0867,0.1048,0.0041,0.022122,0.0181,0.0275,0.0266
1975.0,2.0,0.008940402,0.0037929327,0.0218768,0.048958,0.068783,3.71,0.0534,0.0877,0.1062,0.0041,0.044342,0.0185,0.0279,0.0483
1975.0,3.0,0.008889598,-0.028037842,0.03503207,-0.040486,-0.041815,3.71,0.0642,0.0895,0.1061,0.0053,-0.034226,0.0166,0.022,-0.0426
1975.0,4.0,0.00876357,-0.016189158,0.031413637,-0.013677,-0.004293,3.68,0.0544,0.0879,0.1056,0.0048,-0.012296,0.0177,0.0261,-0.016
1976.0,1.0,0.008844244,-0.028681155,0.032341253,0.024295,0.015123,3.69,0.05,0.0852,0.1012,0.004,0.030786,0.016,0.0292,0.0232
1976.0,2.0,0.008061554,-0.027035156,0.017675042,0.042168,0.023831,3.76,0.0541,0.0862,0.0989,0.0043,0.042158,0.0127,0.0266,0.0405
1976.0,3.0,0.008603545,-0.022502799,0.018396031,0.022385,0.014357,3.85,0.0508,0.0838,0.094,0.0044,0.02267,0.0102,0.0273,0.0207
1976.0,4.0,0.008962592,-0.017562605,0.025144061,0.0593,0.09941,4.05,0.0435,0.0798,0.0912,0.004,0.05217,0.0114,0.0286,0.0565
1977.0,1.0,0.010126547,-0.014497496,0.02891128,-0.011797,0.007811,4.19,0.046,0.081,0.0912,0.0038,-0.014548,0.0102,0.0312,-0.0137
1977.0,2.0,0.012051337,0.014478914,0.032917228,0.048712,0.048776,4.36,0.0502,0.0795,0.0891,0.004,0.045705,0.0096,0.0252,0.0471
1977.0,3.0,0.011852823,0.04479091,0.029745892,-0.001008,0.012288,4.5,0.0581,0.0792,0.088,0.0043,-0.003084,0.0088,0.0183,-0.0027
1977.0,4.0,0.012113686,0.05937055,0.02021223,0.005497,0.017977,4.67,0.0607,0.0819,0.0899,0.0049,0.003637,0.008,0.0196,0.0027
1978.0,1.0,0.010999336,0.10646872,0.018972887,0.030865,0.064899,4.8,0.0629,0.0847,0.0922,0.0053,0.024356,0.0075,0.0202,0.0285
1978.0,2.0,0.011908813,0.17251125,0.054887045,-0.01374,0.007505,4.91,0.0673,0.0876,0.096,0.0054,-0.018953,0.0084,0.0192,-0.0169
1978.0,3.0,0.012468051,0.2250302,0.027511833,-0.009456,0.003747,5.02,0.0785,0.0869,0.0942,0.0062,-0.007483,0.0073,0.0075,-0.0143
1978.0,4.0,0.012728742,0.20929639,0.034816824,0.01458,0.010982,5.07,0.0908,0.0916,0.0994,0.0078,0.014264,0.0078,-0.001,0.0088
1979.0,1.0,0.014218558,0.20518498,0.020084454,0.062472,0.081208,5.2,0.0948,0.0937,0.1026,0.0081,0.054825,0.0089,-0.0046,0.0568
1979.0,2.0,0.016419401,0.18003376,0.026449682,0.043821,0.051678,5.34,0.0906,0.0929,0.1038,0.0081,0.037792,0.0109,-0.0029,0.0385
1979.0,3.0,0.016129242,0.16477416,0.031165322,-0.000932,-0.003396,5.51,0.1026,0.0944,0.1054,0.0083,-0.000872,0.011,-0.0099,-0.0082
1979.0,4.0,0.01600071,0.14844367,0.020762734,0.025174,0.064228,5.65,0.1204,0.1074,0.1206,0.0095,0.015892,0.0132,-0.0192,0.0179
1980.0,1.0,0.015812533,0.13424984,0.024141256,-0.123258,-0.168151,5.8,0.152,0.1296,0.1445,0.0121,-0.100096,0.0149,-0.0281,-0.129
1980.0,2.0,0.014474402,0.11838686,0.0018837797,0.034438,0.042784,5.94,0.0707,0.1058,0.1271,0.0061,0.026895,0.0213,0.0299,0.0306
1980.0,3.0,0.014166093,0.044032313,0.02017304,0.026617,0.049853,6.07,0.1027,0.1202,0.137,0.0075,0.025155,0.0168,0.0158,0.0219
1980.0,4.0,0.01446728,0.016512282,0.041728817,-0.037041,-0.035395,6.16,0.1549,0.1321,0.1514,0.0131,-0.033006,0.0193,-0.035,-0.0452
1981.0,1.0,0.013951877,0.04805403,0.045885827,0.043095,0.069822,6.28,0.1336,0.1333,0.1534,0.0121,0.035426,0.0201,-0.0088,0.0356
1981.0,2.0,0.016573247,0.053388584,0.011636912,-0.013356,-0.015935,6.39,0.1473,0.1375,0.158,0.0135,-0.01118,0.0205,-0.0169,-0.0236
1981.0,3.0,0.018577274,0.017235413,0.031072626,-0.066716,-0.092452,6.52,0.147,0.1549,0.1692,0.0124,-0.0535,0.0143,0.0012,-0.0717
1981.0,4.0,0.018795783,0.017945984,0.007605903,-0.031104,-0.022599,6.63,0.1085,0.1423,0.1655,0.0087,-0.029745,0.0232,0.0249,-0.0365
1982.0,1.0,0.018773971,-0.022237964,-0.0024599181,-0.014055,-0.014831,6.72,0.1268,0.1458,0.1682,0.0098,-0.010463,0.0224,0.0119,-0.0187
1982.0,2.0,0.022201536,-0.047733597,0.01873589,-0.02738,-0.039372,6.81,0.1247,0.1481,0.1692,0.0096,-0.018934,0.0211,0.0165,-0.0309
1982.0,3.0,0.02184309,-0.05768481,0.008399274,0.013675,0.030746,6.85,0.0792,0.1294,0.1563,0.0051,0.007717,0.0269,0.0391,0.0129
1982.0,4.0,0.02155925,-0.06902385,0.010326185,0.012023,0.021241,6.87,0.0794,0.1183,0.1414,0.0067,0.014676,0.0231,0.0301,0.0055
1983.0,1.0,0.022530485,-0.09169958,0.020394962,0.03162,0.048487,6.91,0.0835,0.1173,0.1361,0.0063,0.032459,0.0188,0.0248,0.0282
1983.0,2.0,0.014878976,-0.08462645,0.030361505,0.034865,0.044706,6.94,0.0879,0.1174,0.1337,0.0067,0.033719,0.0163,0.024,0.0307
1983.0,3.0,0.013366277,-0.019116053,0.03036113,0.013102,-0.001534,7.0,0.09,0.1237,0.1355,0.0076,0.010838,0.0118,0.0257,0.0091
1983.0,4.0,0.012511829,0.031056935,0.028393378,-0.013442,-0.021479,7.09,0.09,0.1257,0.1375,0.0073,-0.008699,0.0118,0.0297,-0.0178
1984.0,1.0,0.018421302,0.019022683,0.028463466,0.010025,0.005664,7.18,0.0952,0.1257,0.1399,0.0073,0.013714,0.0142,0.0301,0.0063
1984.0,2.0,0.02064036,0.04562222,0.025537653,0.019501,0.010194,7.31,0.0987,0.1355,0.1505,0.0075,0.018709,0.015,0.0387,0.0182
1984.0,3.0,0.025574185,0.057620063,0.01823245,-0.002539,-0.001888,7.38,0.1037,0.1266,0.1435,0.0086,-0.003292,0.0169,0.0198,-0.008
1984.0,4.0,0.028326664,0.05504511,0.014492892,0.020092,0.000718,7.53,0.0806,0.1213,0.134,0.0064,0.021843,0.0127,0.0364,0.0184
1985.0,1.0,0.021624405,0.0782909,0.017560821,-0.004924,-0.005178,7.66,0.0852,0.1256,0.1369,0.0062,-0.00398,0.0113,0.0329,-0.0084
1985.0,2.0,0.020630652,0.10236923,0.01555056,0.014038,0.000572,7.74,0.0695,0.1094,0.124,0.0055,0.012925,0.0146,0.036,0.0127
1985.0,3.0,0.020067183,0.115446635,0.019861327,-0.042577,-0.058192,7.84,0.071,0.1107,0.1248,0.006,-0.036197,0.0141,0.0372,-0.0454
1985.0,4.0,0.022247968,0.12818538,0.013612417,0.04008,0.026355,7.9,0.071,0.1016,0.1158,0.0065,0.045156,0.0142,0.0246,0.0388
