year,quarter,dp,ypl,gnpg_nominal,vwretx,ewretx,D12,tb30,AAA,BAA,Rfree,CRSP_SPvwx,def,term,mktrf,date,gnp_nominal,month,realgnpg,realgnpg_lag4,realgnpg_lead4
1948,1,0.011496227,-0.15893231,0.023299085,0.076865,0.08961,0.85,0.01,0.0283,0.0353,0.0009,0.077022,0.007,0.0141,0.0807,1948-01-01,267.133,1,0.027,,0.009
1948,2,0.013324244,-0.12975895,0.025549294,-0.005419,-0.018277,0.85,0.01,0.0276,0.0334,0.0009,0.003687,0.0058,0.0138,-0.001,1948-04-01,274.046,4,0.047,,-0.011
1948,3,0.013528978,-0.06949438,0.023915676,-0.035123,-0.048793,0.87,0.0109,0.0284,0.0345,0.0004,-0.031159,0.0061,0.0133,-0.0297,1948-07-01,280.679,7,0.055,,-0.006
1948,4,0.013070958,0.08863368,0.004117293,0.024024,0.001728,0.93,0.0116,0.0279,0.0353,0.0004,0.029719,0.0074,0.0121,0.0326,1948-10-01,281.837,10,0.04,,-0.016
1949,1,0.013463696,0.19557676,-0.019407412,0.035339,0.052517,0.98,0.0117,0.027,0.0347,0.001,0.029349,0.0077,0.011,0.0404,1949-01-01,276.42,1,0.009,0.027,0.037
1949,2,0.01473995,0.20517433,-0.013622577,-0.004382,-0.014373,1.02,0.0117,0.0271,0.0347,0.001,-0.003269,0.0076,0.01,0.001,1949-04-01,272.68,4,-0.011,0.047,0.073
1949,3,0.014752178,0.14754726,0.005420207,0.027265,0.037579,1.04,0.0107,0.026,0.0337,0.0009,0.024293,0.0077,0.0105,0.0309,1949-07-01,274.162,7,-0.006,0.055,0.104
1949,4,0.014927167,0.0585559,-0.008799766,0.044769,0.060479,1.14,0.011,0.0258,0.0331,0.0009,0.046034,0.0073,0.0099,0.0513,1949-10-01,271.76,10,-0.016,0.04,0.135
1950,1,0.014709998,0.005329943,0.037186272,0.007457,-0.007428,1.17,0.0112,0.0258,0.0324,0.001,0.003542,0.0066,0.0103,0.0126,1950-01-01,282.056,1,0.037,0.009,0.106
1950,2,0.013312341,0.032728534,0.033616833,-0.062799,-0.081388,1.2,0.0115,0.0262,0.0328,0.001,-0.057849,0.0066,0.0101,-0.0594,1950-04-01,291.699,4,0.073,-0.011,0.093
1950,3,0.014529494,0.11270031,0.06007537,0.044122,0.049011,1.33,0.013,0.0264,0.0321,0.001,0.05651,0.0057,0.009,0.0481,1950-07-01,309.76,7,0.104,-0.006,0.073
1950,4,0.0147838,0.18805225,0.037367612,0.051048,0.074591,1.47,0.0134,0.0267,0.032,0.0011,0.051025,0.0053,0.009,0.0554,1950-10-01,321.554,10,0.135,-0.016,0.056
1951,1,0.015255688,0.17819212,0.04850965,-0.025753,-0.039402,1.52,0.014,0.0278,0.0323,0.0011,-0.019706,0.0045,0.0101,-0.0215,1951-01-01,337.537,1,0.106,0.037,0.053
1951,2,0.013932736,0.18804966,0.024685618,-0.029834,-0.050402,1.56,0.0145,0.0294,0.0349,0.0012,-0.028186,0.0055,0.0114,-0.0262,1951-04-01,345.973,4,0.093,0.073,0.036
1951,3,0.012870409,0.1805654,0.021186115,0.005339,0.018529,1.52,0.0163,0.0284,0.0346,0.0012,0.001195,0.0062,0.009,0.007,1951-07-01,353.381,7,0.073,0.104,0.022
1951,4,0.012133465,0.14718626,0.013907483,0.030241,0.007583,1.41,0.0173,0.0301,0.0361,0.0012,0.038467,0.006,0.0096,0.0333,1951-10-01,358.33,10,0.056,0.135,0.053
1952,1,0.011549101,0.16456509,0.009695342,0.041726,0.023488,1.42,0.0159,0.0296,0.0351,0.0011,0.050655,0.0055,0.0104,0.0444,1952-01-01,361.821,1,0.053,0.106,0.061
1952,2,0.011919154,0.22031498,0.003388188,0.035588,0.025483,1.45,0.017,0.0294,0.035,0.0015,0.045795,0.0056,0.0089,0.0383,1952-04-01,363.049,4,0.036,0.093,0.067
1952,3,0.012095179,0.23774798,0.018108077,-0.023065,-0.020171,1.45,0.0171,0.0295,0.0352,0.0016,-0.020098,0.0057,0.0106,-0.0203,1952-07-01,369.683,7,0.022,0.073,0.053
1952,4,0.01198353,0.26459998,0.034738746,0.026399,0.015347,1.41,0.0209,0.0297,0.0351,0.0016,0.035725,0.0054,0.007,0.0293,1952-10-01,382.751,10,0.053,0.056,0.005
1953,1,0.011929016,0.3383673,0.018474855,-0.016681,-0.015289,1.41,0.0201,0.0312,0.0357,0.0018,-0.024368,0.0045,0.0093,-0.0143,1953-01-01,389.888,1,0.061,0.053,-0.018
1953,2,0.012074568,0.30690792,0.009986173,-0.020523,-0.03684,1.42,0.0211,0.034,0.0386,0.0018,-0.016183,0.0046,0.009,-0.0189,1953-04-01,393.801,4,0.067,0.036,-0.024
1953,3,0.011741095,0.24012084,-0.002086945,-0.001313,-0.016444,1.42,0.0179,0.0329,0.0388,0.0016,7.2e-05,0.0059,0.0105,0.002,1953-07-01,392.98,7,0.053,0.022,-0.007
1953,4,0.012302553,0.16372874,-0.013274152,-0.004642,-0.023263,1.45,0.016,0.0313,0.0374,0.0013,-0.001189,0.0061,0.0114,0.0003,1953-10-01,387.798,10,0.005,0.053,0.028
1954,1,0.012475122,0.098344445,-0.001168824,0.033374,0.023901,1.47,0.0103,0.0286,0.0351,0.0008,0.028423,0.0065,0.0175,0.0365,1954-01-01,387.345,1,-0.018,0.061,0.062
1954,2,0.010647582,0.046191383,0.001996191,0.007767,0.007529,1.45,0.0064,0.029,0.0349,0.0006,0.000533,0.0059,0.0208,0.0107,1954-04-01,388.119,4,-0.024,0.067,0.078
1954,3,0.011352374,0.039101567,0.012584151,0.061381,0.040407,1.47,0.0101,0.0289,0.0347,0.0009,0.080888,0.0058,0.017,0.0639,1954-07-01,393.034,7,-0.007,0.053,0.081
1954,4,0.011305233,0.068180375,0.022747489,0.051806,0.082538,1.54,0.0115,0.029,0.0345,0.0008,0.052361,0.0055,0.0157,0.0548,1954-10-01,402.077,10,0.028,0.005,0.066
1955,1,0.011538741,0.08868104,0.03282939,-0.004256,-0.003614,1.56,0.0128,0.0302,0.0348,0.001,-0.003851,0.0046,0.016,-0.0016,1955-01-01,415.496,1,0.062,-0.018,0.033
1955,2,0.009986853,0.11835552,0.020095337,0.063181,0.030951,1.57,0.0141,0.0305,0.0351,0.001,0.07993,0.0046,0.0152,0.0655,1955-04-01,423.93,4,0.078,-0.024,0.025
1955,3,0.010170488,0.17542173,0.020402359,-0.004543,-0.01124,1.62,0.0207,0.0313,0.0359,0.0016,0.010117,0.0046,0.0091,-0.0036,1955-07-01,432.668,7,0.081,-0.007,0.01
1955,4,0.009963465,0.16180648,0.015937727,0.01339,0.01751,1.64,0.0254,0.0315,0.0362,0.0018,-0.001685,0.0047,0.0041,0.0149,1955-10-01,439.619,10,0.066,0.028,0.02
1956,1,0.009573736,0.11615081,0.0067512,0.065641,0.047365,1.73,0.0225,0.031,0.036,0.0015,0.069226,0.005,0.0078,0.0664,1956-01-01,442.597,1,0.033,0.062,0.031
1956,2,0.009731021,0.1002369,0.014024667,0.03454,0.017808,1.8,0.0249,0.0326,0.0376,0.002,0.037762,0.005,0.005,0.0348,1956-04-01,448.848,4,0.025,0.078,0.021
1956,3,0.00884427,0.082187906,0.011688208,-0.052064,-0.039684,1.84,0.0284,0.0356,0.0407,0.0018,-0.045127,0.0051,0.004,-0.0514,1956-07-01,454.125,7,0.01,0.081,0.031
1956,4,0.0094605,0.07577353,0.01940426,0.031548,0.017506,1.74,0.0321,0.0375,0.0437,0.0024,0.034442,0.0062,0.0024,0.0316,1956-10-01,463.023,10,0.02,0.066,0.003
1957,1,0.009288163,0.15989909,0.021031098,0.020947,0.018205,1.73,0.0308,0.0366,0.0443,0.0023,0.020752,0.0077,0.0023,0.0213,1957-01-01,472.864,1,0.031,0.033,-0.03
1957,2,0.010477852,0.20148149,0.005331873,-0.007812,-0.010614,1.73,0.0329,0.0391,0.0463,0.0024,-0.003632,0.0072,0.0032,-0.0074,1957-04-01,475.392,4,0.021,0.025,-0.022
1957,3,0.010451281,0.19280834,0.01530325,-0.060387,-0.057172,1.76,0.0353,0.0412,0.0493,0.0026,-0.060609,0.0081,0.0011,-0.0598,1957-07-01,482.723,7,0.031,0.01,-0.009
1957,4,0.009010145,0.19152845,-0.011092427,-0.041179,-0.055242,1.79,0.0304,0.0381,0.0503,0.0024,-0.041021,0.0122,0.0019,-0.0391,1957-10-01,477.398,10,0.003,0.02,0.026
1958,1,0.009775556,0.12109815,-0.015256186,0.030263,0.031262,1.77,0.013,0.0363,0.0468,0.0009,0.029736,0.0105,0.0191,0.0327,1958-01-01,470.17,1,-0.03,0.031,0.073
1958,2,0.008604478,0.010464943,0.009529674,0.026265,0.027697,1.73,0.0083,0.0357,0.0455,0.0003,0.024897,0.0098,0.0241,0.0293,1958-04-01,474.672,4,-0.022,0.021,0.09
1958,3,0.008648601,-0.048966285,0.02860492,0.045746,0.048584,1.73,0.0244,0.0409,0.0487,0.0019,0.047954,0.0078,0.0136,0.0466,1958-07-01,488.446,7,-0.009,0.031,0.067
1958,4,0.008812488,-0.012600482,0.027650042,0.050293,0.034678,1.75,0.0277,0.0408,0.0485,0.0022,0.051432,0.0077,0.0105,0.0515,1958-10-01,502.14,10,0.026,0.003,0.046
1959,1,0.008038142,0.007982341,0.021227295,0.002113,0.008897,1.77,0.028,0.0413,0.0485,0.0022,0.000826,0.0072,0.0123,0.0028,1959-01-01,512.913,1,0.073,-0.03,0.05
1959,2,0.007458633,0.047190238,0.023773745,-0.001865,0.000969,1.79,0.0321,0.0446,0.0504,0.0025,-0.003196,0.0058,0.0098,-0.0025,1959-04-01,525.253,4,0.09,-0.022,0.021
1959,3,0.007119008,0.09875607,0.004958667,-0.047403,-0.049165,1.81,0.0404,0.0452,0.0518,0.0031,-0.045586,0.0066,0.0025,-0.048,1959-07-01,527.864,7,0.067,-0.009,0.025
1959,4,0.006799677,0.062496353,0.007109067,0.025271,0.017354,1.83,0.0449,0.0458,0.0528,0.0034,0.026911,0.007,-0.0002,0.0245,1959-10-01,531.63,10,0.046,0.026,0.009
1960,1,0.00658415,0.03142634,0.025892539,-0.015488,-0.028333,1.94,0.0331,0.0449,0.0525,0.0035,-0.015238,0.0076,0.008,-0.0163,1960-01-01,545.575,1,0.05,0.073,-0.005
1960,2,0.006756319,0.08060465,-0.002736689,0.020134,0.018178,1.95,0.0246,0.0445,0.0526,0.0024,0.019133,0.0081,0.0161,0.0208,1960-04-01,544.084,4,0.021,0.09,0.016
1960,3,0.006596354,0.071317114,0.008572158,-0.06086,-0.0622,1.95,0.0248,0.0425,0.0501,0.0016,-0.06092,0.0076,0.0139,-0.0599,1960-07-01,548.768,7,0.025,0.067,0.03
1960,4,0.006545475,0.051049225,-0.009548597,0.04623,0.034238,1.95,0.0225,0.0435,0.051,0.0016,0.046597,0.0075,0.0155,0.0471,1960-10-01,543.553,10,0.009,0.046,0.064
1961,1,0.00628266,0.0697037,0.009231453,0.028347,0.04705,1.94,0.0239,0.0422,0.0502,0.002,0.027051,0.008,0.0158,0.0289,1961-01-01,548.594,1,-0.005,0.05,0.075
1961,2,0.00568711,0.112488925,0.01869246,-0.03057,-0.044966,1.94,0.0233,0.0433,0.0503,0.002,-0.028725,0.007,0.0171,-0.0308,1961-04-01,558.945,4,0.016,0.021,0.068
1961,3,0.005803043,0.16825868,0.021628821,-0.021266,-0.031799,1.96,0.0228,0.0445,0.0512,0.0017,-0.019877,0.0067,0.0175,-0.0215,1961-07-01,571.166,7,0.03,0.025,0.061
1961,4,0.005969808,0.14807697,0.022578856,-0.000599,-0.006237,2.02,0.026,0.0442,0.051,0.0019,0.003465,0.0068,0.0155,-0.0018,1961-10-01,584.209,10,0.064,0.009,0.045
1962,1,0.005998325,0.13848765,0.022686314,-0.006113,-0.008615,2.04,0.0272,0.0439,0.0504,0.002,-0.005137,0.0065,0.0126,-0.0068,1962-01-01,597.614,1,0.075,-0.005,0.037
1962,2,0.007367462,0.11031761,0.011221606,-0.084336,-0.087909,2.06,0.0273,0.0428,0.0502,0.002,-0.082222,0.0074,0.0128,-0.0847,1962-04-01,604.358,4,0.068,0.016,0.038
1962,3,0.009244291,0.0726067,0.014325486,-0.051786,-0.066217,2.08,0.0278,0.0432,0.0503,0.0021,-0.050259,0.0071,0.012,-0.0522,1962-07-01,613.078,7,0.061,0.03,0.048
1962,4,0.009312731,0.124971956,0.006393071,0.010056,-0.028471,2.13,0.0287,0.0424,0.0492,0.0023,0.01404,0.0068,0.0108,0.0101,1962-10-01,617.01,10,0.045,0.064,0.051
1963,1,0.009341197,0.12860924,0.014751052,0.031233,0.009732,2.15,0.0289,0.0419,0.0488,0.0023,0.035156,0.0069,0.0112,0.0308,1963-01-01,626.179,1,0.037,0.075,0.063
1963,2,0.008303617,0.088383056,0.012553007,-0.019459,-0.012566,2.2,0.0299,0.0423,0.0484,0.0023,-0.019806,0.0061,0.0108,-0.02,1963-04-01,634.089,4,0.038,0.068,0.062
1963,3,0.006506494,0.13634464,0.023061605,-0.013316,-0.012468,2.21,0.0338,0.0431,0.0484,0.0027,-0.011579,0.0053,0.0072,-0.0157,1963-07-01,648.882,7,0.048,0.061,0.056
1963,4,0.008595833,0.1595792,0.014809259,0.019978,-0.007261,2.28,0.0352,0.0435,0.0485,0.0029,0.024651,0.005,0.0065,0.0183,1963-10-01,658.563,10,0.051,0.045,0.051
1964,1,0.009232983,0.20074591,0.024474734,0.015967,0.023102,2.33,0.0354,0.0438,0.0483,0.0031,0.015814,0.0045,0.007,0.0141,1964-01-01,674.88,1,0.063,0.037,0.055
1964,2,0.008879128,0.22959451,0.012763456,0.013413,0.00783,2.38,0.0348,0.0441,0.0485,0.003,0.016779,0.0044,0.0071,0.0127,1964-04-01,683.549,4,0.062,0.038,0.057
1964,3,0.008954243,0.21391599,0.019600358,0.028792,0.035831,2.44,0.0353,0.0442,0.0482,0.0028,0.029022,0.004,0.0068,0.0269,1964-07-01,697.079,7,0.056,0.048,0.063
1964,4,0.009622438,0.19840455,0.007058944,0.001939,-0.015461,2.5,0.0384,0.0444,0.0481,0.0031,0.003803,0.0037,0.0039,0.0003,1964-10-01,702.017,10,0.051,0.051,0.084
1965,1,0.009043713,0.17897333,0.029762682,-0.011428,0.012949,2.55,0.0393,0.0442,0.0478,0.0036,-0.013685,0.0036,0.0029,-0.0134,1965-01-01,723.225,1,0.055,0.063,0.083
1965,2,0.009651576,0.20122692,0.017281448,-0.053592,-0.086084,2.61,0.038,0.0446,0.0485,0.0035,-0.048367,0.0039,0.0043,-0.0551,1965-04-01,735.832,4,0.057,0.062,0.073
1965,3,0.009793432,0.21450365,0.025154196,0.030357,0.025166,2.66,0.0392,0.0452,0.0491,0.0031,0.032034,0.0039,0.0041,0.0286,1965-07-01,754.576,7,0.063,0.056,0.059
1965,4,0.006826592,0.22462128,0.028826062,0.011976,0.040331,2.72,0.0438,0.0468,0.0502,0.0033,0.009059,0.0034,0.0012,0.0101,1965-10-01,776.644,10,0.084,0.051,0.045
1966,1,0.007080468,0.23624375,0.030544253,-0.022747,-0.011332,2.78,0.0459,0.0492,0.0532,0.0038,-0.024608,0.004,1e-04,-0.0251,1966-01-01,800.732,1,0.083,0.055,0.029
1966,2,0.007712893,0.24616292,0.01154871,-0.012063,-0.007341,2.83,0.045,0.0507,0.0558,0.0038,-0.015904,0.0051,0.0027,-0.0144,1966-04-01,810.033,4,0.073,0.057,0.026
1966,3,0.00749328,0.2408051,0.017829448,-0.008696,-0.020555,2.89,0.0537,0.0549,0.0609,0.004,-0.007692,0.006,-0.0057,-0.0106,1966-07-01,824.605,7,0.059,0.063,0.028
1966,4,0.007693536,0.2495076,0.01678764,0.00441,0.014408,2.87,0.0496,0.0539,0.0618,0.004,-0.001089,0.0079,-0.0041,0.0013,1966-10-01,838.565,10,0.045,0.084,0.027
1967,1,0.00724932,0.24225411,0.012827511,0.041582,0.055882,2.9,0.0426,0.0513,0.0585,0.0039,0.039544,0.0072,0.0029,0.0399,1967-01-01,849.391,1,0.029,0.083,0.039
1967,2,0.006225541,0.2231335,0.005485336,0.025341,0.079861,2.9,0.0354,0.0544,0.0615,0.0027,0.018015,0.0071,0.0153,0.0241,1967-04-01,854.063,4,0.026,0.073,0.056
1967,3,0.006418737,0.19584954,0.01954747,0.032875,0.061164,2.92,0.0442,0.0565,0.064,0.0032,0.032597,0.0075,0.0075,0.0311,1967-07-01,870.922,7,0.028,0.059,0.053
1967,4,0.006516852,0.18680595,0.018318506,0.032203,0.078316,2.92,0.0497,0.0619,0.0693,0.0033,0.025857,0.0074,0.0059,0.0305,1967-10-01,887.023,10,0.027,0.045,0.05
1968,1,0.007235636,0.19817753,0.031276044,0.00374,-0.013014,2.95,0.0517,0.0611,0.0685,0.0038,0.008585,0.0074,0.0043,0.002,1968-01-01,915.204,1,0.039,0.029,0.045
1968,2,0.007469333,0.17527513,0.02709879,0.010038,0.01453,2.99,0.0552,0.0628,0.0707,0.0043,0.008695,0.0079,-0.0018,0.0069,1968-04-01,940.344,4,0.056,0.026,0.03
1968,3,0.008013583,0.16574414,0.017638115,0.043207,0.067318,3.03,0.0519,0.0597,0.0679,0.0043,0.03821,0.0082,0.0012,0.0403,1968-07-01,957.077,7,0.053,0.028,0.029
1968,4,0.008664141,0.15274958,0.017836442,-0.035362,0.00417,3.07,0.0596,0.0645,0.0723,0.0043,-0.042141,0.0078,0.0002,-0.0394,1968-10-01,974.301,10,0.05,0.027,0.02
1969,1,0.008161501,0.14779183,0.025705928,0.029062,0.018682,3.1,0.0602,0.0685,0.0751,0.0046,0.033599,0.0066,0.0018,0.0264,1969-01-01,999.671,1,0.045,0.039,0.003
1969,2,0.011138575,0.13881858,0.015395985,-0.068958,-0.115112,3.13,0.0644,0.0698,0.077,0.0051,-0.055686,0.0072,-0.0021,-0.0718,1969-04-01,1015.181,4,0.03,0.056,0.002
1969,3,0.010767779,0.12250525,0.020207575,-0.024167,-0.026428,3.15,0.0709,0.0714,0.0805,0.0062,-0.025285,0.0091,-0.0032,-0.0298,1969-07-01,1035.904,7,0.029,0.053,0.004
1969,4,0.0093409,0.11908279,0.007941982,-0.021471,-0.068361,3.16,0.0782,0.0772,0.0865,0.0064,-0.018365,0.0093,-0.0095,-0.0263,1969-10-01,1044.164,10,0.02,0.05,-0.002
1970,1,0.008975347,0.10328513,0.012678888,-0.006569,-0.025789,3.17,0.0663,0.0784,0.0863,0.0057,0.001232,0.0079,-0.0002,-0.0106,1970-01-01,1057.487,1,0.003,0.045,0.027
1970,2,0.008454951,0.08428431,0.015505739,-0.053372,-0.076505,3.18,0.0668,0.0848,0.0925,0.0058,-0.050902,0.0077,0.0041,-0.0579,1970-04-01,1074.012,4,0.002,0.03,0.032
1970,3,0.007580441,0.0828498,0.017198347,0.0456,0.123935,3.19,0.0612,0.0809,0.0939,0.0054,0.033021,0.013,0.0068,0.0418,1970-07-01,1092.643,7,0.004,0.029,0.03
1970,4,0.007596843,0.07241183,0.001855291,0.058969,0.079062,3.14,0.0487,0.0764,0.0912,0.0042,0.057358,0.0148,0.0161,0.0572,1970-10-01,1094.672,10,-0.002,0.02,0.045
1971,1,0.007984369,0.024148608,0.042825293,0.042972,0.054652,3.11,0.0338,0.0721,0.0846,0.003,0.037624,0.0125,0.0255,0.0413,1971-01-01,1142.57,1,0.027,0.003,0.035
1971,2,0.006724503,0.029069837,0.01879358,0.001385,-0.019225,3.1,0.0475,0.0764,0.0875,0.0037,0.001061,0.0111,0.0166,-0.001,1971-04-01,1164.246,4,0.032,0.002,0.052
1971,3,0.007281412,0.024696274,0.017614327,-0.006491,-0.006263,3.09,0.0469,0.0744,0.0859,0.0037,-0.006387,0.0115,0.0129,-0.0085,1971-07-01,1184.935,7,0.03,0.004,0.055
1971,4,0.007049233,0.020044986,0.010986418,0.089557,0.115263,3.07,0.0401,0.0725,0.0838,0.0037,0.086486,0.0113,0.0196,0.0871,1971-10-01,1198.025,10,0.045,-0.002,0.069
1972,1,0.00657702,0.027888587,0.033455912,0.007248,-0.002463,3.07,0.0373,0.0724,0.0824,0.0027,0.006132,0.01,0.024,0.0063,1972-01-01,1238.784,1,0.035,0.027,0.077
1972,2,0.005617923,0.05039006,0.028411863,-0.022412,-0.035508,3.07,0.0391,0.0723,0.082,0.0029,-0.021378,0.0097,0.0216,-0.0243,1972-04-01,1274.485,4,0.052,0.032,0.065
1972,3,0.005163169,0.0648345,0.019425858,-0.009085,-0.032321,3.08,0.0466,0.0722,0.0809,0.0034,-0.004516,0.0087,0.014,-0.0114,1972-07-01,1299.485,7,0.055,0.03,0.05
1972,4,0.00520708,0.06544416,0.029153382,0.009903,-0.021639,3.15,0.0507,0.0708,0.0793,0.0037,0.012622,0.0085,0.0092,0.0062,1972-10-01,1337.927,10,0.069,0.045,0.043
1973,1,0.00539418,0.1057394,0.03685775,-0.00933,-0.03067,3.17,0.0609,0.0729,0.0803,0.0046,-0.002089,0.0074,0.0077,-0.013,1973-01-01,1388.16,1,0.077,0.035,0.01
1973,2,0.005881421,0.15861888,0.026552552,-0.010424,-0.039765,3.22,0.0719,0.0737,0.0813,0.0051,-0.006522,0.0076,-0.0009,-0.0157,1973-04-01,1425.513,4,0.065,0.052,0.001
